#,location,continent,population,highestinfectioncount,percentpopulationinfected
1,Andorra,Europe,77265,13232,17.125477253607713
2,Montenegro,Europe,628062,97389,15.506271673815641
3,Czechia,Europe,10708982,1630758,15.22794603632726
4,San Marino,Europe,33938,5066,14.92722022511639
5,Slovenia,Europe,2078932,240292,11.558434811720634
6,Luxembourg,Europe,625976,67205,10.736034608355592
7,Bahrain,Asia,1701583,176934,10.398199793956568
8,Serbia,Europe,6804596,689557,10.133694932072382
9,United States,North America,331002647,32346971,9.772420641699581
10,Israel,Asia,8655541,838481,9.687216547180586
11,Sweden,Europe,10099270,973604,9.640340341430619
12,Estonia,Europe,1326539,122019,9.198297223074482
13,Lithuania,Europe,2722291,247269,9.083121532562096
14,Netherlands,Europe,17134873,1522973,8.888148747878084
15,Belgium,Europe,11589616,990229,8.544105343956176
16,Panama,North America,4314768,364576,8.449492533549892
17,France,Europe,68147687,5677835,8.33166208561121
18,Portugal,Europe,10196707,836493,8.203560227826493
19,Croatia,Europe,4105268,332183,8.091627635516122
20,Hungary,Europe,9660350,779348,8.067492378640525
21,Georgia,Asia,3989175,310310,7.778801381237975
22,Lebanon,Asia,6825442,526578,7.714928937935447
23,Liechtenstein,Europe,38137,2926,7.672339198154024
24,Switzerland,Europe,8654618,659974,7.625686078807868
25,Spain,Europe,46754783,3524077,7.537361471659487
26,Cyprus,Europe,875899,65233,7.447548176216665
27,Poland,Europe,37846605,2792142,7.377523030137049
28,North Macedonia,Europe,2083380,152367,7.313452178671199
29,Armenia,Asia,2963234,216064,7.291493010676849
30,Qatar,Asia,2881060,205652,7.138067239141149
31,Slovakia,Europe,5459643,382211,7.000659200610736
32,Jordan,Asia,10203140,711373,6.9720987852759055
33,Brazil,South America,212559409,14659011,6.896430070522072
34,Austria,Europe,9006400,618870,6.871446971042813
35,Malta,Europe,441539,30292,6.860549124765876
36,Italy,Europe,60461828,4022653,6.653211014394074
37,Argentina,South America,45195777,2977363,6.587701766915082
38,United Kingdom,Europe,67886004,4432246,6.528954038891434
39,Kuwait,Asia,4270563,273991,6.415805129206617
40,Latvia,Europe,1886202,118558,6.285540997199663
41,Chile,South America,19116209,1198245,6.2682145816673165
42,Monaco,Europe,39244,2454,6.253185200285394
43,Moldova,Europe,4033963,250837,6.218128426066377
44,Bosnia and Herzegovina,Europe,3280815,198461,6.049137180852928
45,Seychelles,Africa,98340,5873,5.972137482204596
46,Bulgaria,Europe,6948445,404380,5.819719376061839
47,Palestine,Asia,5101416,296462,5.811366883233989
48,Turkey,Asia,84339067,4820591,5.715727208601916
49,Uruguay,South America,3473727,198428,5.71225084757668
50,Colombia,South America,50882884,2859724,5.620208162729141
51,Maldives,Asia,540542,29835,5.519460097457737
52,Romania,Europe,19237682,1055265,5.485406193947899
53,Peru,South America,32971846,1799445,5.457519727588197
54,Kosovo,Europe,1932774,103638,5.362137528754009
55,United Arab Emirates,Asia,9890400,520236,5.260009706381946
56,Ireland,Europe,4937796,248870,5.040102912311484
57,Costa Rica,North America,5094114,250991,4.927078585206377
58,Ukraine,Europe,43733759,2124070,4.856820105493333
59,Albania,Europe,2877800,131085,4.555042046007367
60,Denmark,Europe,5792203,251249,4.33771053949594
61,Cape Verde,Africa,555988,23882,4.295416447837003
62,Germany,Europe,83783945,3405365,4.064460082417938
63,Paraguay,South America,7132530,279077,3.912735032309713
64,Belarus,Europe,9449321,358738,3.7964420935641834
65,Oman,Asia,5106622,193253,3.7843607770459613
66,Vatican,Europe,809,27,3.3374536464771323
67,Greece,Europe,10423056,345033,3.3102863497999047
68,Russia,Europe,145934460,4750755,3.2554031446719303
69,Canada,North America,37742157,1228367,3.254628504671845
70,Belize,North America,397621,12668,3.1859484282771784
71,Azerbaijan,Asia,10139175,319109,3.1472876244862134
72,Iran,Asia,83992953,2499077,2.9753412765473315
73,South Africa,Africa,59308690,1581210,2.6660679910481924
74,Bahamas,North America,393248,10453,2.6581190495565137
75,Iraq,Asia,40222503,1065199,2.648266319975164
76,Tunisia,Africa,11818618,309119,2.6155257746717933
77,Bolivia,South America,11673029,303732,2.601998161745336
78,Libya,Africa,6871287,177508,2.583329731388021
79,Saint Lucia,North America,183629,4552,2.4789112830762026
80,Dominican Republic,North America,10847904,266561,2.457258102579079
81,Ecuador,South America,17643060,381862,2.1643751140675143
82,Honduras,North America,9904608,212333,2.1437799456576174
83,Norway,Europe,5421242,112970,2.0838398285854054
84,Kazakhstan,Asia,18776707,375539,2.0000258831327558
85,Botswana,Africa,2351625,46934,1.9958114070057937
86,Namibia,Africa,2540916,48351,1.9028964357735556
87,Iceland,Europe,341250,6472,1.8965567765567766
88,Mexico,North America,128932753,2344755,1.8185875547076853
89,Suriname,South America,586634,10363,1.7665188175250666
90,Guyana,South America,786559,13283,1.688748078656528
91,Saint Vincent and the Grenadines,North America,110947,1864,1.6800814803464719
92,Eswatini,Africa,1160164,18458,1.5909819646187953
