#,continent,location,date,population,new_vaccinations,rolling_num_vaccinated,percent_of_population
1,Asia,Afghanistan,2020-02-24,38928341,,,
2,Asia,Afghanistan,2020-02-25,38928341,,,
3,Asia,Afghanistan,2020-02-26,38928341,,,
4,Asia,Afghanistan,2020-02-27,38928341,,,
5,Asia,Afghanistan,2020-02-28,38928341,,,
6,Asia,Afghanistan,2020-02-29,38928341,,,
7,Asia,Afghanistan,2020-03-01,38928341,,,
8,Asia,Afghanistan,2020-03-02,38928341,,,
9,Asia,Afghanistan,2020-03-03,38928341,,,
10,Asia,Afghanistan,2020-03-04,38928341,,,
11,Asia,Afghanistan,2020-03-05,38928341,,,
12,Asia,Afghanistan,2020-03-06,38928341,,,
13,Asia,Afghanistan,2020-03-07,38928341,,,
14,Asia,Afghanistan,2020-03-08,38928341,,,
15,Asia,Afghanistan,2020-03-09,38928341,,,
16,Asia,Afghanistan,2020-03-10,38928341,,,
17,Asia,Afghanistan,2020-03-11,38928341,,,
18,Asia,Afghanistan,2020-03-12,38928341,,,
19,Asia,Afghanistan,2020-03-13,38928341,,,
20,Asia,Afghanistan,2020-03-14,38928341,,,
21,Asia,Afghanistan,2020-03-15,38928341,,,
22,Asia,Afghanistan,2020-03-16,38928341,,,
23,Asia,Afghanistan,2020-03-17,38928341,,,
24,Asia,Afghanistan,2020-03-18,38928341,,,
25,Asia,Afghanistan,2020-03-19,38928341,,,
26,Asia,Afghanistan,2020-03-20,38928341,,,
27,Asia,Afghanistan,2020-03-21,38928341,,,
28,Asia,Afghanistan,2020-03-22,38928341,,,
29,Asia,Afghanistan,2020-03-23,38928341,,,
30,Asia,Afghanistan,2020-03-24,38928341,,,
31,Asia,Afghanistan,2020-03-25,38928341,,,
32,Asia,Afghanistan,2020-03-26,38928341,,,
33,Asia,Afghanistan,2020-03-27,38928341,,,
34,Asia,Afghanistan,2020-03-28,38928341,,,
35,Asia,Afghanistan,2020-03-29,38928341,,,
36,Asia,Afghanistan,2020-03-30,38928341,,,
37,Asia,Afghanistan,2020-03-31,38928341,,,
38,Asia,Afghanistan,2020-04-01,38928341,,,
39,Asia,Afghanistan,2020-04-02,38928341,,,
40,Asia,Afghanistan,2020-04-03,38928341,,,
41,Asia,Afghanistan,2020-04-04,38928341,,,
42,Asia,Afghanistan,2020-04-05,38928341,,,
43,Asia,Afghanistan,2020-04-06,38928341,,,
44,Asia,Afghanistan,2020-04-07,38928341,,,
45,Asia,Afghanistan,2020-04-08,38928341,,,
46,Asia,Afghanistan,2020-04-09,38928341,,,
47,Asia,Afghanistan,2020-04-10,38928341,,,
48,Asia,Afghanistan,2020-04-11,38928341,,,
49,Asia,Afghanistan,2020-04-12,38928341,,,
50,Asia,Afghanistan,2020-04-13,38928341,,,
51,Asia,Afghanistan,2020-04-14,38928341,,,
52,Asia,Afghanistan,2020-04-15,38928341,,,
53,Asia,Afghanistan,2020-04-16,38928341,,,
54,Asia,Afghanistan,2020-04-17,38928341,,,
55,Asia,Afghanistan,2020-04-18,38928341,,,
56,Asia,Afghanistan,2020-04-19,38928341,,,
57,Asia,Afghanistan,2020-04-20,38928341,,,
58,Asia,Afghanistan,2020-04-21,38928341,,,
59,Asia,Afghanistan,2020-04-22,38928341,,,
60,Asia,Afghanistan,2020-04-23,38928341,,,
61,Asia,Afghanistan,2020-04-24,38928341,,,
62,Asia,Afghanistan,2020-04-25,38928341,,,
63,Asia,Afghanistan,2020-04-26,38928341,,,
64,Asia,Afghanistan,2020-04-27,38928341,,,
65,Asia,Afghanistan,2020-04-28,38928341,,,
66,Asia,Afghanistan,2020-04-29,38928341,,,
67,Asia,Afghanistan,2020-04-30,38928341,,,
68,Asia,Afghanistan,2020-05-01,38928341,,,
69,Asia,Afghanistan,2020-05-02,38928341,,,
70,Asia,Afghanistan,2020-05-03,38928341,,,
71,Asia,Afghanistan,2020-05-04,38928341,,,
72,Asia,Afghanistan,2020-05-05,38928341,,,
73,Asia,Afghanistan,2020-05-06,38928341,,,
74,Asia,Afghanistan,2020-05-07,38928341,,,
75,Asia,Afghanistan,2020-05-08,38928341,,,
76,Asia,Afghanistan,2020-05-09,38928341,,,
77,Asia,Afghanistan,2020-05-10,38928341,,,
78,Asia,Afghanistan,2020-05-11,38928341,,,
79,Asia,Afghanistan,2020-05-12,38928341,,,
80,Asia,Afghanistan,2020-05-13,38928341,,,
81,Asia,Afghanistan,2020-05-14,38928341,,,
82,Asia,Afghanistan,2020-05-15,38928341,,,
83,Asia,Afghanistan,2020-05-16,38928341,,,
84,Asia,Afghanistan,2020-05-17,38928341,,,
85,Asia,Afghanistan,2020-05-18,38928341,,,
86,Asia,Afghanistan,2020-05-19,38928341,,,
87,Asia,Afghanistan,2020-05-20,38928341,,,
88,Asia,Afghanistan,2020-05-21,38928341,,,
89,Asia,Afghanistan,2020-05-22,38928341,,,
90,Asia,Afghanistan,2020-05-23,38928341,,,
91,Asia,Afghanistan,2020-05-24,38928341,,,
92,Asia,Afghanistan,2020-05-25,38928341,,,
93,Asia,Afghanistan,2020-05-26,38928341,,,
94,Asia,Afghanistan,2020-05-27,38928341,,,
95,Asia,Afghanistan,2020-05-28,38928341,,,
96,Asia,Afghanistan,2020-05-29,38928341,,,
97,Asia,Afghanistan,2020-05-30,38928341,,,
98,Asia,Afghanistan,2020-05-31,38928341,,,
99,Asia,Afghanistan,2020-06-01,38928341,,,
100,Asia,Afghanistan,2020-06-02,38928341,,,
101,Asia,Afghanistan,2020-06-03,38928341,,,
102,Asia,Afghanistan,2020-06-04,38928341,,,
103,Asia,Afghanistan,2020-06-05,38928341,,,
104,Asia,Afghanistan,2020-06-06,38928341,,,
105,Asia,Afghanistan,2020-06-07,38928341,,,
106,Asia,Afghanistan,2020-06-08,38928341,,,
107,Asia,Afghanistan,2020-06-09,38928341,,,
108,Asia,Afghanistan,2020-06-10,38928341,,,
109,Asia,Afghanistan,2020-06-11,38928341,,,
110,Asia,Afghanistan,2020-06-12,38928341,,,
111,Asia,Afghanistan,2020-06-13,38928341,,,
112,Asia,Afghanistan,2020-06-14,38928341,,,
113,Asia,Afghanistan,2020-06-15,38928341,,,
114,Asia,Afghanistan,2020-06-16,38928341,,,
115,Asia,Afghanistan,2020-06-17,38928341,,,
116,Asia,Afghanistan,2020-06-18,38928341,,,
117,Asia,Afghanistan,2020-06-19,38928341,,,
118,Asia,Afghanistan,2020-06-20,38928341,,,
119,Asia,Afghanistan,2020-06-21,38928341,,,
120,Asia,Afghanistan,2020-06-22,38928341,,,
121,Asia,Afghanistan,2020-06-23,38928341,,,
122,Asia,Afghanistan,2020-06-24,38928341,,,
123,Asia,Afghanistan,2020-06-25,38928341,,,
124,Asia,Afghanistan,2020-06-26,38928341,,,
125,Asia,Afghanistan,2020-06-27,38928341,,,
126,Asia,Afghanistan,2020-06-28,38928341,,,
127,Asia,Afghanistan,2020-06-29,38928341,,,
128,Asia,Afghanistan,2020-06-30,38928341,,,
129,Asia,Afghanistan,2020-07-01,38928341,,,
130,Asia,Afghanistan,2020-07-02,38928341,,,
131,Asia,Afghanistan,2020-07-03,38928341,,,
132,Asia,Afghanistan,2020-07-04,38928341,,,
133,Asia,Afghanistan,2020-07-05,38928341,,,
134,Asia,Afghanistan,2020-07-06,38928341,,,
135,Asia,Afghanistan,2020-07-07,38928341,,,
136,Asia,Afghanistan,2020-07-08,38928341,,,
137,Asia,Afghanistan,2020-07-09,38928341,,,
138,Asia,Afghanistan,2020-07-10,38928341,,,
139,Asia,Afghanistan,2020-07-11,38928341,,,
140,Asia,Afghanistan,2020-07-12,38928341,,,
141,Asia,Afghanistan,2020-07-13,38928341,,,
142,Asia,Afghanistan,2020-07-14,38928341,,,
143,Asia,Afghanistan,2020-07-15,38928341,,,
144,Asia,Afghanistan,2020-07-16,38928341,,,
145,Asia,Afghanistan,2020-07-17,38928341,,,
146,Asia,Afghanistan,2020-07-18,38928341,,,
147,Asia,Afghanistan,2020-07-19,38928341,,,
148,Asia,Afghanistan,2020-07-20,38928341,,,
149,Asia,Afghanistan,2020-07-21,38928341,,,
150,Asia,Afghanistan,2020-07-22,38928341,,,
151,Asia,Afghanistan,2020-07-23,38928341,,,
152,Asia,Afghanistan,2020-07-24,38928341,,,
153,Asia,Afghanistan,2020-07-25,38928341,,,
154,Asia,Afghanistan,2020-07-26,38928341,,,
155,Asia,Afghanistan,2020-07-27,38928341,,,
156,Asia,Afghanistan,2020-07-28,38928341,,,
157,Asia,Afghanistan,2020-07-29,38928341,,,
158,Asia,Afghanistan,2020-07-30,38928341,,,
159,Asia,Afghanistan,2020-07-31,38928341,,,
160,Asia,Afghanistan,2020-08-01,38928341,,,
161,Asia,Afghanistan,2020-08-02,38928341,,,
162,Asia,Afghanistan,2020-08-03,38928341,,,
163,Asia,Afghanistan,2020-08-04,38928341,,,
164,Asia,Afghanistan,2020-08-05,38928341,,,
165,Asia,Afghanistan,2020-08-06,38928341,,,
166,Asia,Afghanistan,2020-08-07,38928341,,,
167,Asia,Afghanistan,2020-08-08,38928341,,,
168,Asia,Afghanistan,2020-08-09,38928341,,,
169,Asia,Afghanistan,2020-08-10,38928341,,,
170,Asia,Afghanistan,2020-08-11,38928341,,,
171,Asia,Afghanistan,2020-08-12,38928341,,,
172,Asia,Afghanistan,2020-08-13,38928341,,,
173,Asia,Afghanistan,2020-08-14,38928341,,,
174,Asia,Afghanistan,2020-08-15,38928341,,,
175,Asia,Afghanistan,2020-08-16,38928341,,,
176,Asia,Afghanistan,2020-08-17,38928341,,,
177,Asia,Afghanistan,2020-08-18,38928341,,,
178,Asia,Afghanistan,2020-08-19,38928341,,,
179,Asia,Afghanistan,2020-08-20,38928341,,,
180,Asia,Afghanistan,2020-08-21,38928341,,,
181,Asia,Afghanistan,2020-08-22,38928341,,,
182,Asia,Afghanistan,2020-08-23,38928341,,,
183,Asia,Afghanistan,2020-08-24,38928341,,,
184,Asia,Afghanistan,2020-08-25,38928341,,,
185,Asia,Afghanistan,2020-08-26,38928341,,,
186,Asia,Afghanistan,2020-08-27,38928341,,,
